,judge_date,year,issue,judge_num,result(months)
0,20190604,108,詐欺,上訴字第337,62
1,20161221,105,詐欺,訴字第480,0
2,20140627,101,詐欺,易字第1289,6
3,20140627,101,詐欺,易字第1289,6
4,20140627,101,詐欺,易字第1289,6
5,20140627,101,詐欺,易字第1289,6
6,20180213,106,詐欺,訴字第240,78
7,20180213,106,詐欺,訴字第240,78
8,20160831,105,詐欺,訴字第58,0
9,20160714,104,詐欺,原易字第15,7
10,20161018,105,詐欺,上易字第402,1
11,20160523,104,詐欺,易字第808,14
12,20170124,105,詐欺,原上訴字第13,9
13,20160623,105,詐欺,易字第57,8
14,20141121,103,詐欺,易字第405,0
15,20180608,106,詐欺等,訴字第555,0
16,20180608,106,詐欺等,訴字第555,0
17,20180608,106,詐欺等,訴字第555,0
18,20160324,105,詐欺等,審易字第77,3
19,20171108,106,詐欺等,易字第97,0
20,20150630,102,詐欺等,上易字第460,0
