,judge_date,year,issue,judge_num,result(months)
0,20171003,106,詐欺,上訴字第1087,9
1,20170427,105,詐欺,原訴字第49,2
2,20180704,107,詐欺,訴字第821,10
3,20180928,107,詐欺,訴字第1510,5
4,20171003,106,詐欺,上訴字第1087,9
5,20170427,105,詐欺,原訴字第49,2
6,20180704,107,詐欺,訴字第821,10
7,20180928,107,詐欺,訴字第1510,5
8,20171003,106,詐欺,上訴字第1087,9
9,20170427,105,詐欺,原訴字第49,2
10,20180704,107,詐欺,訴字第821,10
11,20180928,107,詐欺,訴字第1510,5
12,20171003,106,詐欺,上訴字第1087,9
13,20170427,105,詐欺,原訴字第49,2
14,20180704,107,詐欺,訴字第821,10
15,20180928,107,詐欺,訴字第1510,5
16,20171003,106,詐欺,上訴字第1087,9
17,20170427,105,詐欺,原訴字第49,2
18,20180704,107,詐欺,訴字第821,10
19,20180928,107,詐欺,訴字第1510,5
20,20171003,106,詐欺,上訴字第1087,9
21,20170427,105,詐欺,原訴字第49,2
22,20180704,107,詐欺,訴字第821,10
23,20180928,107,詐欺,訴字第1510,5
24,20171003,106,詐欺,上訴字第1087,9
25,20170427,105,詐欺,原訴字第49,2
26,20180704,107,詐欺,訴字第821,10
27,20180928,107,詐欺,訴字第1510,5
28,20171003,106,詐欺,上訴字第1087,9
29,20170427,105,詐欺,原訴字第49,2
30,20180704,107,詐欺,訴字第821,10
31,20180928,107,詐欺,訴字第1510,5
32,20171003,106,詐欺,上訴字第1087,9
33,20170427,105,詐欺,原訴字第49,2
34,20180704,107,詐欺,訴字第821,10
35,20180928,107,詐欺,訴字第1510,5
36,20171003,106,詐欺,上訴字第1087,9
37,20170427,105,詐欺,原訴字第49,2
38,20180704,107,詐欺,訴字第821,10
39,20180928,107,詐欺,訴字第1510,5
40,20171003,106,詐欺,上訴字第1087,9
41,20170427,105,詐欺,原訴字第49,2
42,20180704,107,詐欺,訴字第821,10
43,20180928,107,詐欺,訴字第1510,5
44,20171003,106,詐欺,上訴字第1087,9
45,20170427,105,詐欺,原訴字第49,2
46,20180704,107,詐欺,訴字第821,10
47,20180928,107,詐欺,訴字第1510,5
48,20171003,106,詐欺,上訴字第1087,9
49,20170427,105,詐欺,原訴字第49,2
50,20180704,107,詐欺,訴字第821,10
51,20180928,107,詐欺,訴字第1510,5
52,20171003,106,詐欺,上訴字第1087,9
53,20170427,105,詐欺,原訴字第49,2
54,20180704,107,詐欺,訴字第821,10
55,20180928,107,詐欺,訴字第1510,5
56,20200521,109,詐欺等,上訴字第323,20
57,20200521,109,詐欺等,上訴字第323,20
58,20200521,109,詐欺等,上訴字第323,20
59,20200521,109,詐欺等,上訴字第323,20
60,20200521,109,詐欺等,上訴字第323,20
61,20200521,109,詐欺等,上訴字第323,20
62,20200521,109,詐欺等,上訴字第323,20
63,20200521,109,詐欺等,上訴字第323,20
64,20200521,109,詐欺等,上訴字第323,20
65,20200521,109,詐欺等,上訴字第323,20
66,20200521,109,詐欺等,上訴字第323,20
67,20200521,109,詐欺等,上訴字第323,20
68,20200521,109,詐欺等,上訴字第323,20
69,20200521,109,詐欺等,上訴字第323,20
